protein1	protein2	confidence
ACADM	SUCLA2	0.914
ACADM	SUCLG2	0.838
ACADM	TECR	0.47
ACADM	UQCRC2	0.634
ACADM	USP20	0.494
ACADM	USP50	0.488
ACADM	VDAC1	0.487
ACADM	VDAC2	0.437
ACADS	SEC22C	0.598
ACADSB	KDSR	0.423
ACADVL	ALB	0.462
ACADVL	ATP5L	0.503
ACADVL	C17orf105	0.18
ACADVL	CKAP5	0.16
ACADVL	CYP1A1	0.208
ACADVL	DCUN1D5	0.197
ACADVL	DENR	0.363
ACADVL	ECSIT	0.216
ACADVL	GPHN	0.206
ACADVL	INTS9	0.506
ACADVL	METAP2	0.394
ACADVL	OXLD1	0.153
ACADVL	PPA2	0.208
ACADVL	RPSA	0.154
ACADVL	SCGB1A1	0.36
ACADVL	SOCS3	0.407
ACAN	ADAMTS1	0.961
ACAN	ADAMTS4	0.988
ACAN	ADAMTS5	0.992
ACAN	CLEC1B	0.816
ACAN	FBLN1	0.682
ACAN	FBLN2	0.619
ACAN	HAPLN1	0.941
ACAN	LUM	0.961
ACAN	MMP19	0.512
ACAN	MMP20	0.546
ACAN	MMP8	0.627
ACAN	PCOLCE	0.394
ACAN	TNFAIP6	0.449
ACAN	TNR	0.997
ACAN	VCAN	0.859
ACAP1	BOP1	0.201
ACAP1	IFFO1	0.608
ACAP1	ITGB1	0.395
ACAP1	RAB11FIP3	0.351
ACAP1	RABGAP1L	0.196
ACAP2	RAB11FIP3	0.359
ACAP3	ACACA	0.408
ACAP3	AKT1	0.349
ACAP3	APEX1	0.363
ACAP3	ARHGAP29	0.173
ACAP3	ATG5	0.348
ACAP3	ATG7	0.368
ACAP3	BRINP1	0.151
ACAP3	CCNB1	0.338
ACAP3	CDK1	0.333
ACAP3	CDKL1	0.258
ACAP3	CHD3	0.38
ACAP3	CSNK2A2	0.333
ACAP3	CSNK2B	0.295
ACAP3	DIAPH3	0.279
ACAP3	DNMT1	0.366
ACAP3	DVL1	0.439
ACAP3	EEF1G	0.152
ACAP3	EP300	0.37
ACAP3	FOXO1	0.326
ACAP3	FOXO4	0.327
ACAP3	HDAC2	0.151
ACAP3	HES1	0.324
ACAP3	HEY2	0.324
ACAP3	HIC1	0.465
ACAP3	HNRNPA1L2	0.201
ACAP3	HSPA1L	0.185
ACAP3	IRS1	0.334
ACAP3	LAMA3	0.151
ACAP3	LANCL1	0.161
ACAP3	MCF2L2	0.185
ACAP3	MECOM	0.402
ACAP3	MTOR	0.301
ACAP3	MYCN	0.36
ACAP3	NBN	0.336
ACAP3	NMNAT1	0.369
ACAP3	NOS3	0.367
ACAP3	PML	0.346
ACAP3	RARA	0.325
ACAP3	RPS19BP1	0.324
ACAP3	RPTOR	0.332
ACAP3	RRP8	0.36
ACAP3	SART1	0.38
ACAP3	SETD7	0.364
ACAP3	SMAD7	0.362
ACAP3	SNW1	0.368
ACAP3	SREBF1	0.342
ACAP3	STX12	0.429
ACAP3	SUV39H1	0.381
ACAP3	TP73	0.392
ACAP3	USP22	0.508
ACAP3	WRN	0.347
ACAT1	ABCB7	0.426
ACAT1	ACAA2	0.969
ACAT1	ACAT2	0.898
ACAT1	ACO2	0.834
ACAT1	AGXT	0.2
ACAT1	ATP1B1	0.417
ACAT1	ATP1B3	0.417
ACAT1	CLTC	0.172
ACAT1	DUS3L	0.46
ACAT1	FLOT1	0.503
ACAT1	FOXM1	0.503
ACAT1	FUS	0.442
ACAT1	GCN1	0.503
ACAT1	HDAC5	0.191
ACAT1	ILVBL	0.481
ACAT1	KATNA1	0.153
ACAT1	MAT1A	0.557
ACAT1	PEX7	0.736
ACAT1	PTBP1	0.435
ACAT1	RAB2A	0.212
ACAT1	RAB5C	0.154
ACAT1	SAFB	0.503
ACAT1	SDHA	0.552
ACAT1	SDHB	0.616
ACAT1	SFXN1	0.774
ACAT1	SFXN3	0.777
ACAT1	SIGMAR1	0.487
ACAT1	SIRT4	0.175
ACAT1	SSBP1	0.503
ACAT1	TIMM44	0.519
ACAT1	TMEM65	0.51
ACAT1	TOMM7	0.528
ACAT1	TOPBP1	0.503
ACAT1	TTF2	0.503
ACAT1	TUBB1	0.794
ACAT1	UBAP2L	0.503
ACAT1	UBIAD1	0.285
ACAT1	UBL4A	0.53
ACAT1	UGT3A2	0.428
ACAT1	UQCRB	0.527
ACAT1	UQCRFS1	0.528
ACAT1	UQCRQ	0.53
ACAT2	MLST8	0.186
ACAT2	OLA1	0.286
ACAT2	PCBP2	0.417
ACAT2	PRRC1	0.417
ACAT2	TRAPPC8	0.595
ACAT2	UBXN1	0.417
ACAT2	YWHAE	0.452
ACBD3	GOLGB1	0.731
ACBD3	GTF2E1	0.347
ACBD3	HARS	0.329
ACBD3	KDM2B	0.417
ACBD3	NUP35	0.605
ACBD3	PI4KB	0.647
ACBD3	PKN2	0.417
ACBD3	PPIE	0.19
ACBD3	RPUSD2	0.347
ACBD3	SARS	0.338
ACBD3	SLC35A1	0.412
ACBD3	SNF8	0.347
ACBD3	SRSF2	0.417
ACBD3	TBC1D22A	0.216
ACBD3	TBCD	0.341
ACBD3	TGOLN2	0.382
ACBD3	UNC45A	0.167
ACBD3	VPS36	0.175
ACBD3	WDR12	0.263
ACD	ACTR8	0.154
ACD	DCX	0.152
ACD	FKBP6	0.91
ACD	GRP	0.195
ACD	HOPX	0.272
ACD	TBCD	0.156
ACE	AC113554.2	0.805
ACE	AGT	0.995
ACE	AGTR2	0.883
ACE	COMT	0.564
ACE	EDC3	0.389
ACE	HSPA1L	0.402
ACE	UPF2	0.596
ACE2	GABBR2	0.8
ACE2	ISYNA1	0.417
ACE2	RAB3GAP1	0.8
ACE2	TMEM87A	0.8
ACER1	AFG3L2	0.6
ACER1	COX5B	0.782
ACER1	GHITM	0.745
ACER1	MRPL44	0.745
ACER1	ND2	0.774
ACER1	ND4	0.609
ACER1	ND5	0.774
ACER1	NDUFA12	0.605
ACER1	NDUFA5	0.671
ACER1	NDUFA6	0.647
ACER1	NDUFA8	0.6
ACER1	NDUFA9	0.645
ACER1	NDUFB11	0.605
ACER1	NDUFB3	0.612
ACER1	NDUFB5	0.605
ACER1	NDUFB6	0.612
ACER1	NDUFB8	0.629
ACER1	NDUFS1	0.618
ACER1	NDUFS2	0.73
ACER1	NDUFS3	0.764
ACER1	NDUFS5	0.612
ACER1	NDUFS7	0.602
ACER1	NDUFS8	0.774
ACER1	NDUFV1	0.632
ACER1	NDUFV2	0.774
ACER1	NDUFV3	0.774
ACER1	NIT1	0.753
ACER1	PCK1	0.745
ACER1	UQCR10	0.602
ACER1	UQCRB	0.745
ACER1	YME1L1	0.6
ACHE	COLQ	0.876
ACHE	EIF2D	0.36
ACHE	PRIMA1	0.627
ACIN1	ARMCX3	0.503
ACIN1	ATP7A	0.503
ACIN1	BET1	0.503
ACIN1	DHRS7B	0.503
ACIN1	EED	0.164
ACIN1	FUT8	0.503
ACIN1	LGMN	0.503
ACIN1	LUC7L	0.422
ACIN1	NDUFAF4	0.774
ACIN1	NFIA	0.432
ACIN1	PRPF6	0.445
ACIN1	RRP7A	0.503
ACIN1	SAP18	0.988
ACIN1	SENP3	0.187
ACIN1	SEPT2	0.444
ACIN1	SF1	0.302
ACIN1	SNAP91	0.503
ACIN1	SON	0.488
ACIN1	SRRM1	0.405
ACIN1	SRRM2	0.822
ACIN1	SSRP1	0.513
ACIN1	SUPT16H	0.439
ACIN1	WWOX	0.165
ACKR1	CCL5	0.626
ACKR1	CCL8	0.426
ACKR1	CUBN	0.8
ACKR1	CXCL5	0.465
ACKR1	CXCL8	0.977
ACKR2	CCL11	0.962
ACKR2	CCL13	0.57
ACKR2	CCL14	0.354
ACKR2	CCL21	0.703
ACKR2	CCL25	0.929
ACKR2	CCL27	0.636
ACKR2	CCL3L1	0.521
ACKR2	CCL4	0.963
ACKR2	CCL5	0.96
ACKR2	CCL8	0.626
ACKR3	ATP13A2	0.166
ACKR3	ATP5B	0.193
ACKR3	ATP5D	0.437
ACKR3	ATP5O	0.437
ACKR3	CD164	0.41
ACKR3	GJB2	0.157
ACKR3	HECTD2	0.167
ACKR3	ITGBL1	0.158
ACKR4	CCL11	0.415
ACKR4	CCL13	0.433
ACKR4	CCL21	0.966
ACKR4	CCL25	0.981
ACKR4	CCL8	0.793
ACKR4	CXCL13	0.479
ACLY	CCNA1	0.182
ACLY	HUWE1	0.228
ACLY	NUP210L	0.425
ACLY	PPP6C	0.351
ACLY	SHC1	0.162
ACLY	SIRT6	0.369
ACLY	UBC	0.327
ACLY	UBR4	0.36
ACLY	WWOX	0.22
ACO1	C12orf57	0.503
ACO1	FBXL5	0.716
ACO1	PSMG1	0.347
ACO1	TXNDC17	0.417
ACO2	ASB9	0.172
ACO2	ESD	0.462
ACO2	GPD1	0.554
ACO2	GPD1L	0.807
ACO2	GPD2	0.674
ACO2	IDH3A	0.997
ACO2	IDH3G	0.998
ACO2	MYH7B	0.814
ACO2	PITPNB	0.436
ACO2	SOD2	0.782
ACOT11	THUMPD3	0.613
ACOT13	CMPK1	0.447
ACOT13	ECI2	0.633
ACOT13	LMAN2L	0.417
ACOT13	NDUFAF2	0.538
ACOT13	NUP214	0.503
ACOT13	PCTP	0.704
ACOT13	PTPA	0.425
ACOT13	RAB31	0.503
ACOT13	SBDS	0.503
ACOT13	TNN	0.417
ACOT13	TRNT1	0.774
ACOT2	EXOC3-AS1	0.415
ACOT8	KLHL23	0.437
ACOT8	PML	0.618
ACOT9	MYO16	0.337
ACOX3	FKBP6	0.249
ACP1	ABRACL	0.425
ACP1	EGFR	0.181
ACP1	FABP4	0.395
ACP1	LCK	0.534
ACP1	SPTAN1	0.36
ACP1	TKTL2	0.836
ACP2	DNAJB11	0.508
ACP2	NIF3L1	0.51
ACP2	SGCA	0.169
ACP2	TNF	0.155
ACP2	TRHR	0.608
ACP2	UQCRFS1	0.503
ACP2	VTI1B	0.216
ACP5	CIZ1	0.36
ACP5	GPC4	0.369
ACP5	HSD17B7	0.335
ACP5	KLHL15	0.171
ACP5	MAPK9	0.262
ACP5	TNFSF10	0.239
ACP6	BOLA3	0.607
ACP6	DHCR7	0.368
ACP6	FAM9B	0.324
ACP6	PTPRCAP	0.41
ACP6	RSU1	0.422
ACPP	MMRN1	0.198
ACPP	SHBG	0.253
ACPP	UBC	0.171
ACR	SERPINA5	0.598
ACR	ZP3	0.75
ACRBP	ATL2	0.36
ACSF2	PPA2	0.397
ACSF3	AUP1	0.373
ACSF3	GLP1R	0.189
ACSF3	HAUS2	0.179
ACSF3	KCTD14	0.437
ACSF3	OXLD1	0.175
ACSL1	ACSL6	0.871
ACSL3	ACSL4	0.9
ACSL3	EGFR	0.218
ACSL3	GNAT2	0.326
ACSL3	KIF20B	0.166
ACSL3	KMT5A	0.364
ACSL3	MAPK4	0.174
ACSL4	ABCG1	0.18
ACSL4	HNRNPD	0.174
ACSL4	HTATIP2	0.774
ACSL4	MRPS15	0.158
ACSL4	SLC1A5	0.153
ACSL5	KIF11	0.198
ACSM1	CCDC88C	0.158
ACSM1	MAPT	0.182
ACSM1	RTEL1	0.349
ACSM1	SLC30A7	0.167
ACSM2A	CTNNBL1	0.779
ACSS1	ECI2	0.762
ACSS1	PPA2	0.446
ACTA1	ABLIM2	0.364
ACTA1	ABLIM3	0.346
ACTA1	ABRA	0.401
ACTA1	ACTBL2	0.347
ACTA1	ACTR10	0.341
ACTA1	ACTR1B	0.324
ACTA1	AFAP1	0.36
ACTA1	AIF1	0.391
ACTA1	AJUBA	0.374
ACTA1	AMOT	0.367
ACTA1	ANXA1	0.455
ACTA1	APC2	0.36
ACTA1	BRK1	0.41
ACTA1	CAPZA2	0.731
ACTA1	CCIN	0.385
ACTA1	CDKN2A	0.511
ACTA1	CNN1	0.543
ACTA1	CORO2B	0.803
ACTA1	CTNNBL1	0.307
ACTA1	CTNND1	0.395
ACTA1	CYFIP1	0.408
ACTA1	CYTH1	0.417
ACTA1	DHX9	0.428
ACTA1	DMAP1	0.663
ACTA1	DMC1	0.288
ACTA1	DMD	0.966
ACTA1	DNASE1	0.657
ACTA1	DNMBP	0.394
ACTA1	DSTN	0.856
ACTA1	DTNA	0.457
ACTA1	EGFR	0.516
ACTA1	EPB41	0.438
ACTA1	EPB41L2	0.331
ACTA1	ERBB3	0.186
ACTA1	ETV6	0.435
ACTA1	FGD4	0.412
ACTA1	FHOD1	0.405
ACTA1	FPGT-TNNI3K	0.447
ACTA1	GAS2	0.36
ACTA1	GAS7	0.658
ACTA1	GC	0.397
ACTA1	HCLS1	0.518
ACTA1	HIP1R	0.701
ACTA1	ITPKA	0.36
ACTA1	KAT5	0.594
ACTA1	KIF23	0.461
ACTA1	KLHL20	0.404
ACTA1	LASP1	0.377
ACTA1	LRCH3	0.275
ACTA1	MACF1	0.578
ACTA1	MAP1A	0.288
ACTA1	MARK4	0.528
ACTA1	MIB2	0.685
ACTA1	MLPH	0.36
ACTA1	MORF4L1	0.392
ACTA1	MORF4L2	0.392
ACTA1	MRGBP	0.257
ACTA1	MTSS1	0.938
ACTA1	MYL1	0.709
ACTA1	MYLK	0.501
ACTA1	MYO10	0.678
ACTA1	MYO9B	0.778
ACTA1	NCKAP1	0.436
ACTA1	NEXN	0.435
ACTA1	NRAP	0.404
ACTA1	OCLN	0.391
ACTA1	PAK1	0.968
ACTA1	PARVA	0.39
ACTA1	PCYT1B	0.366
ACTA1	PFDN1	0.335
ACTA1	PFN1	0.849
ACTA1	PHACTR1	0.626
ACTA1	POLR1B	0.368
ACTA1	POU5F1	0.348
ACTA1	PPP1R1A	0.177
ACTA1	PPP1R3D	0.382
ACTA1	RRN3	0.328
ACTA1	SCIN	0.605
ACTA1	SHC1	0.224
ACTA1	SMTN	0.64
ACTA1	SORBS1	0.369
ACTA1	SPRR1A	0.362
ACTA1	SPTA1	0.736
ACTA1	SPTAN1	0.982
ACTA1	SPTBN2	0.64
ACTA1	SSH1	0.412
ACTA1	SSH2	0.412
ACTA1	SSH3	0.417
ACTA1	TES	0.45
ACTA1	TMOD1	0.841
ACTA1	TMSB4X	0.495
ACTA1	TMSB4Y	0.381
ACTA1	TNNI1	0.621
ACTA1	TNNI3	0.549
ACTA1	TNNI3K	0.447
ACTA1	TPM2	0.936
ACTA1	TRAF3IP1	0.186
ACTA1	TTN	0.586
ACTA1	UBL4A	0.489
ACTA1	USP6NL	0.404
ACTA1	UTRN	0.958
ACTA1	VASP	0.84
ACTA1	VIL1	0.619
ACTA1	VIM	0.655
ACTA1	WASL	0.941
ACTA1	XIRP1	0.457
ACTA1	XPO6	0.395
ACTA1	ZFAND2B	0.157
ACTA1	ZNF16	0.449
ACTA2	AARS	0.536
ACTA2	ACTC1	0.775
ACTA2	ADRA1D	0.361
ACTA2	ALOX12	0.36
ACTA2	CAPNS2	0.234
ACTA2	CASQ2	0.174
ACTA2	CNN2	0.873
ACTA2	CUL4B	0.316
ACTA2	DHCR24	0.214
ACTA2	DNASE1	0.64
ACTA2	DUSP19	0.239
ACTA2	EGFR	0.646
ACTA2	EP300	0.308
ACTA2	ERBB3	0.292
ACTA2	FSCN1	0.797
ACTA2	GC	0.439
ACTA2	GSTP1	0.589
ACTA2	KCNMA1	0.381
ACTA2	LRRTM2	0.398
ACTA2	MINK1	0.394
ACTA2	MRPL47	0.503
ACTA2	MRPS2	0.513
ACTA2	MRPS7	0.593
ACTA2	MYL1	0.604
ACTA2	MYL12B	0.971
ACTA2	NCF1	0.426
ACTA2	PCYT1B	0.366
ACTA2	PECR	0.239
ACTA2	PNMA1	0.162
ACTA2	PRG2	0.177
ACTA2	RBM18	0.172
ACTA2	RPA1	0.157
ACTA2	RPL10A	0.49
ACTA2	RPL14	0.472
ACTA2	RPL17	0.475
ACTA2	RPL18	0.478
ACTA2	RPL7A	0.476
ACTA2	RPS16	0.505
ACTA2	RPS23	0.485
ACTA2	RPS26	0.498
ACTA2	RPS4X	0.613
ACTA2	SELE	0.478
ACTA2	SHBG	0.233
ACTA2	SMURF2	0.341
ACTA2	SNTA1	0.36
ACTA2	SPTAN1	0.749
ACTA2	TFDP3	0.163
ACTA2	TMSB4X	0.414
ACTA2	TRIM9	0.296
ACTA2	TSC1	0.486
ACTA2	TTN	0.553
ACTA2	UBAP1	0.503
ACTA2	UBL4A	0.489
ACTA2	UBXN4	0.161
ACTA2	YIPF2	0.255
ACTA2	YWHAB	0.585
ACTA2	YWHAE	0.587
ACTA2	YWHAQ	0.342
ACTA2	ZMAT3	0.164
ACTA2	ZYX	0.552
ACTB	ABLIM1	0.378
ACTB	ABRA	0.379
ACTB	ACD	0.157
ACTB	ACE	0.444
ACTB	ACTC1	0.362
ACTB	ACTG1	0.997
ACTB	ACTN1	0.95
ACTB	ACTN2	0.94
ACTB	ACTR1B	0.326
ACTB	ACTR2	0.969
ACTB	ACTR3	0.968
ACTB	ADA	0.34
ACTB	AGO3	0.212
ACTB	AGO4	0.232
ACTB	AKT1	0.843
ACTB	ALK	0.446
ACTB	ALOX5	0.423
ACTB	AMOT	0.385
ACTB	ANGPTL4	0.4
ACTB	ANXA1	0.379
ACTB	ANXA2	0.397
ACTB	ANXA6	0.319
ACTB	AP2M1	0.434
ACTB	ARPC1B	0.97
ACTB	ASB12	0.236
ACTB	ASB9	0.236
ACTB	ATF3	0.482
ACTB	ATP13A2	0.211
ACTB	ATP5A1	0.406
ACTB	BAIAP2	0.933
ACTB	BBS4	0.223
ACTB	BCAR1	0.398
ACTB	BCL7C	0.202
ACTB	C12orf56	0.36
ACTB	CAD	0.497
ACTB	CAP1	0.877
ACTB	CAP2	0.861
ACTB	CAPZA1	0.818
ACTB	CARM1	0.438
ACTB	CAV1	0.48
ACTB	CBX5	0.195
ACTB	CCR10	0.36
ACTB	CCT2	0.954
ACTB	CCT5	0.954
ACTB	CCT8	0.95
ACTB	CDK5R2	0.361
ACTB	CENPA	0.765
ACTB	CFL2	0.98
ACTB	CLIC4	0.344
ACTB	CLNS1A	0.523
ACTB	CNN2	0.566
ACTB	COPS5	0.912
ACTB	COPS6	0.909
ACTB	CORO1A	0.82
ACTB	CORO1B	0.82
ACTB	CORO1C	0.848
ACTB	CORO7	0.388
ACTB	COTL1	0.419
ACTB	CPNE1	0.235
ACTB	CPNE2	0.217
ACTB	CPNE4	0.221
ACTB	CRK	0.195
ACTB	CSNK1A1	0.546
ACTB	CTGF	0.542
ACTB	CUL1	0.294
ACTB	CUL2	0.155
ACTB	CUL5	0.18
ACTB	CYBB	0.438
ACTB	DAB2	0.204
ACTB	DDX3X	0.2
ACTB	DDX5	0.212
ACTB	DHX9	0.452
ACTB	DMAP1	0.964
ACTB	DMTN	0.383
ACTB	DNASE1	0.569
ACTB	DNM2	0.779
ACTB	DSTN	0.912
ACTB	DTNA	0.36
ACTB	DUSP19	0.256
ACTB	EEF1A1	0.88
ACTB	EEF1A2	0.821
ACTB	EEF1B2	0.248
ACTB	EGFR	0.676
ACTB	EHHADH	0.251
ACTB	EIF3B	0.23
ACTB	EIF4A2	0.312
ACTB	EIF4A3	0.493
ACTB	EMD	0.411
ACTB	ENC1	0.387
ACTB	ENO1	0.648
ACTB	EP300	0.939
ACTB	EPB41	0.874
ACTB	EPB41L2	0.86
ACTB	EPB41L3	0.866
ACTB	EPC1	0.955
ACTB	EPS15	0.391
ACTB	ERBB2	0.58
ACTB	ERBB3	0.3
ACTB	ERG	0.168
ACTB	ERRFI1	0.236
ACTB	ESR2	0.338
ACTB	FABP4	0.226
ACTB	FARSB	0.213
ACTB	FBXO25	0.161
ACTB	FHL3	0.417
ACTB	FHL5	0.632
ACTB	FHOD1	0.398
ACTB	FLII	0.52
ACTB	FLNA	0.643
ACTB	FLOT2	0.392
ACTB	FPR1	0.379
ACTB	FUS	0.223
ACTB	GAPDH	0.953
ACTB	GLB1L3	0.214
ACTB	GNA12	0.529
ACTB	GNAI2	0.384
ACTB	GRB2	0.337
ACTB	GSN	0.713
ACTB	H2AFX	0.393
ACTB	HAUS1	0.15
ACTB	HCK	0.464
ACTB	HIST1H2BG	0.447
ACTB	HMMR	0.376
ACTB	HNF1A	0.469
ACTB	HNRNPA1	0.319
ACTB	HNRNPA2B1	0.354
ACTB	HNRNPAB	0.468
ACTB	HNRNPD	0.302
ACTB	HNRNPH1	0.184
ACTB	HNRNPU	0.394
ACTB	HOMER1	0.232
ACTB	HOXB5	0.174
ACTB	HSD17B3	0.278
ACTB	HSD17B4	0.472
ACTB	HSPD1	0.475
ACTB	INO80	0.977
ACTB	INSR	0.566
ACTB	IQCB1	0.569
ACTB	IQGAP1	0.958
ACTB	IVNS1ABP	0.258
ACTB	KAT5	0.971
ACTB	KHDRBS1	0.183
ACTB	KPNB1	0.154
ACTB	LASP1	0.491
ACTB	LBP	0.168
ACTB	LCK	0.32
ACTB	LGALS13	0.369
ACTB	LIMA1	0.186
ACTB	LMNA	0.44
ACTB	LMOD1	0.558
ACTB	LMX1B	0.214
ACTB	LYN	0.515
ACTB	MAGOH	0.391
ACTB	MAP1A	0.293
ACTB	MAP1B	0.43
ACTB	MAP1LC3A	0.536
ACTB	MAP1LC3B	0.576
ACTB	MAP2	0.511
ACTB	MAPK7	0.586
ACTB	MAPT	0.504
ACTB	MCL1	0.494
ACTB	MEPCE	0.186
ACTB	MGMT	0.363
ACTB	MKL1	0.953
ACTB	MME	0.298
ACTB	MMP14	0.498
ACTB	MORF4L1	0.936
ACTB	MORF4L2	0.936
ACTB	MRGBP	0.926
ACTB	MX1	0.758
ACTB	MYBPC3	0.393
ACTB	MYC	0.721
ACTB	MYH11	0.977
ACTB	MYL12A	0.921
ACTB	MYL12B	0.948
ACTB	MYL6	0.897
ACTB	MYO18A	0.679
ACTB	MYO18B	0.675
ACTB	MYO1E	0.862
ACTB	MYO1G	0.79
ACTB	MYOC	0.207
ACTB	NCALD	0.581
ACTB	NCF1	0.411
ACTB	NCL	0.206
ACTB	NCOA6	0.194
ACTB	NEBL	0.363
ACTB	NEDD8	0.242
ACTB	NFKB1	0.549
ACTB	NOM1	0.223
ACTB	NOS2	0.542
ACTB	NOS3	0.581
ACTB	NPM1	0.305
ACTB	NR5A1	0.277
ACTB	NRAP	0.393
ACTB	NSMAF	0.293
ACTB	NT5E	0.455
ACTB	OSTF1	0.285
ACTB	P2RX7	0.378
ACTB	PA2G4	0.468
ACTB	PCK1	0.202
ACTB	PCYT1A	0.452
ACTB	PCYT1B	0.399
ACTB	PDLIM5	0.436
ACTB	PFDN1	0.96
ACTB	PFDN4	0.939
ACTB	PFN1	0.996
ACTB	PFN2	0.984
ACTB	PHACTR4	0.324
ACTB	PHB	0.546
ACTB	PIK3R2	0.163
ACTB	PLD1	0.761
ACTB	PLG	0.514
ACTB	PLS3	0.967
ACTB	PNMA1	0.206
ACTB	POLR1B	0.93
ACTB	POLR2A	0.967
ACTB	POT1	0.189
ACTB	PPID	0.53
ACTB	PPP1CA	0.972
ACTB	PPP1CB	0.942
ACTB	PPP1CC	0.944
ACTB	PPP2R2B	0.245
ACTB	PROM1	0.57
ACTB	PRSS23	0.237
ACTB	PSTPIP1	0.195
ACTB	PTN	0.411
ACTB	RAB2A	0.343
ACTB	RAB35	0.373
ACTB	RAB4A	0.393
ACTB	RAB8B	0.629
ACTB	RAC1	0.967
ACTB	RAC2	0.698
ACTB	RACK1	0.381
ACTB	RAD51	0.445
ACTB	RAD52	0.317
ACTB	RAN	0.348
ACTB	RPA1	0.349
ACTB	RPA2	0.238
ACTB	RPA3	0.25
ACTB	RPL10A	0.249
ACTB	RPL11	0.258
ACTB	RPL18	0.185
ACTB	RPL7	0.254
ACTB	RPL7A	0.23
ACTB	RPLP0	0.554
ACTB	RPLP1	0.336
ACTB	RPS10	0.189
ACTB	RPS13	0.217
ACTB	RPS18	0.348
ACTB	RPS19	0.214
ACTB	RPS3A	0.499
ACTB	RPS4X	0.397
ACTB	RPS7	0.21
ACTB	RPS8	0.295
ACTB	RPS9	0.374
ACTB	RPSA	0.258
ACTB	RUSC1	0.453
ACTB	RUVBL1	0.99
ACTB	RUVBL2	0.99
ACTB	S100A11	0.448
ACTB	SAMHD1	0.477
ACTB	SAR1A	0.369
ACTB	SCN10A	0.435
ACTB	SFXN4	0.156
ACTB	SHBG	0.163
ACTB	SHC1	0.246
ACTB	SLC12A3	0.37
ACTB	SLC30A6	0.196
ACTB	SLC6A2	0.393
ACTB	SMAD3	0.531
ACTB	SMAD9	0.172
ACTB	SMARCA4	0.979
ACTB	SMARCC2	0.962
ACTB	SMARCE1	0.935
ACTB	SMN1	0.277
ACTB	SNW1	0.209
ACTB	SORBS1	0.36
ACTB	SPTAN1	0.736
ACTB	SPTBN2	0.656
ACTB	SRC	0.642
ACTB	SRPK2	0.215
ACTB	SS18	0.425
ACTB	SSH1	0.403
ACTB	SSH2	0.403
ACTB	SSH3	0.403
ACTB	SSRP1	0.361
ACTB	STAU1	0.384
ACTB	STX4	0.536
ACTB	SVIL	0.338
ACTB	SYNJ2BP	0.36
ACTB	SYNPO	0.209
ACTB	TAF11	0.388
ACTB	TAGLN2	0.638
ACTB	TANC1	0.432
ACTB	TGM2	0.469
ACTB	TJP1	0.904
ACTB	TMSB4X	0.906
ACTB	TPM1	0.887
ACTB	TPM2	0.879
ACTB	TPST1	0.229
ACTB	TRAF3IP1	0.186
ACTB	TRIM15	0.263
ACTB	TSC1	0.414
ACTB	TUBA1A	0.969
ACTB	TUBB	0.737
ACTB	TUBG1	0.52
ACTB	TUBGCP2	0.16
ACTB	TUBGCP3	0.169
ACTB	UBE3A	0.339
ACTB	UBL4A	0.489
ACTB	UCHL5	0.919
ACTB	USP46	0.2
ACTB	VCAM1	0.312
ACTB	VDAC1	0.41
ACTB	VDAC3	0.217
ACTB	VHL	0.231
ACTB	VIM	0.539
ACTB	VSNL1	0.694
ACTB	WASF1	0.939
ACTB	WASF2	0.934
ACTB	WASF3	0.937
ACTB	XPO6	0.733
ACTB	YARS	0.449
ACTB	YBX1	0.22
ACTB	YWHAQ	0.372
ACTB	YY1	0.961
ACTB	ZBTB1	0.409
ACTBL2	BRK1	0.41
ACTBL2	CEP97	0.415
ACTBL2	CUL4B	0.316
ACTBL2	ERBB3	0.163
ACTBL2	GAN	0.169
ACTBL2	PXK	0.328
ACTBL2	RIPOR1	0.164
ACTBL2	SLC30A6	0.3
ACTBL2	UBXN6	0.38
ACTC1	AATK	0.24
ACTC1	ABLIM3	0.393
ACTC1	ABRA	0.385
ACTC1	AFAP1	0.326
ACTC1	ANG	0.36
ACTC1	CAPZA2	0.731
ACTC1	CD2AP	0.393
ACTC1	DMD	0.668
ACTC1	DMTN	0.361
ACTC1	ERBB3	0.169
ACTC1	FPGT-TNNI3K	0.449
ACTC1	GC	0.364
ACTC1	HSPB1	0.481
ACTC1	KPTN	0.36
ACTC1	LASP1	0.41
ACTC1	MIB2	0.367
ACTC1	MPC1	0.177
ACTC1	MYLK	0.493
ACTC1	PDCD6IP	0.535
ACTC1	PLEC	0.699
ACTC1	SCIN	0.604
ACTC1	SLC4A1	0.36
ACTC1	SUN2	0.388
ACTC1	SYNE1	0.578
ACTC1	SYNE2	0.578
ACTC1	TADA2A	0.156
ACTC1	TNNI3K	0.554
ACTC1	TWF1	0.694
ACTC1	WIPF1	0.499
ACTC1	ZMYM4	0.161
ACTG1	ABLIM1	0.375
ACTG1	ACTA1	0.351
ACTG1	ANLN	0.26
ACTG1	ANXA1	0.653
ACTG1	ANXA5	0.816
ACTG1	BRK1	0.938
ACTG1	C12orf56	0.36
ACTG1	CAD	0.478
ACTG1	CAP2	0.859
ACTG1	CAPZA2	0.733
ACTG1	CAPZA3	0.651
ACTG1	CCDC22	0.603
ACTG1	CDKN2A	0.469
ACTG1	CFL2	0.98
ACTG1	CHUK	0.173
ACTG1	CORO1B	0.821
ACTG1	CORO1C	0.833
